feature,importance
MagpieData mode MeltingT,0.19746661750376177
MagpieData mean NdValence,0.1436507262119185
MagpieData mean MeltingT,0.034592425513638524
MagpieData mean GSmagmom,0.02569452835250855
MagpieData avg_dev Column,0.024167012040798866
MagpieData range Electronegativity,0.02320607406023643
MagpieData mean SpaceGroupNumber,0.018473460995283256
MagpieData maximum Electronegativity,0.01676020562946369
MagpieData avg_dev NdValence,0.016200906811194137
MagpieData mean Electronegativity,0.015961136734382684
MagpieData mode Electronegativity,0.015396391859106068
MagpieData avg_dev NUnfilled,0.014918546772362633
MagpieData avg_dev MeltingT,0.013990064953166159
MagpieData mean NUnfilled,0.013754718249485667
MagpieData avg_dev Electronegativity,0.013693223844812485
MagpieData range MeltingT,0.013165339520507186
MagpieData mean NpUnfilled,0.0125749035480226
MagpieData mean MendeleevNumber,0.012394379697418034
MagpieData avg_dev MendeleevNumber,0.012382537709727123
MagpieData avg_dev SpaceGroupNumber,0.012362386961149932
MagpieData mode MendeleevNumber,0.012282343221462684
MagpieData avg_dev NpUnfilled,0.012239694954671157
MagpieData mean CovalentRadius,0.011257078071237487
MagpieData mean GSbandgap,0.01116414359639369
MagpieData avg_dev NValence,0.011122627323765457
MagpieData mean Column,0.01112020557225276
MagpieData mean NpValence,0.010913553723419449
MagpieData mean NValence,0.010638824152004138
MagpieData maximum NValence,0.010026176494995287
MagpieData avg_dev NpValence,0.009877405212484463
MagpieData avg_dev Row,0.009018693128313507
MagpieData avg_dev GSbandgap,0.00894157762580691
MagpieData avg_dev GSmagmom,0.008451950504775383
MagpieData avg_dev CovalentRadius,0.00827785449561573
MagpieData mean GSvolume_pa,0.0079374442627697
MagpieData mean Row,0.007885420043364387
MagpieData avg_dev GSvolume_pa,0.007641844740942535
MagpieData maximum MeltingT,0.006906443194307738
MagpieData mean AtomicWeight,0.006354885238402484
MagpieData range MendeleevNumber,0.006296862032096059
MagpieData avg_dev AtomicWeight,0.006127279790278916
MagpieData range GSvolume_pa,0.006062322373585597
MagpieData avg_dev Number,0.00577335867495387
MagpieData mean Number,0.005576099055925931
MagpieData range Column,0.005513554175948111
MagpieData range AtomicWeight,0.005347186664598248
MagpieData range SpaceGroupNumber,0.005254562591188057
MagpieData range CovalentRadius,0.005080944842805777
MagpieData range NUnfilled,0.004915849996445185
MagpieData avg_dev NdUnfilled,0.004617594286427092
MagpieData maximum CovalentRadius,0.00428362660874803
MagpieData maximum MendeleevNumber,0.0040708586535852225
MagpieData range NpUnfilled,0.003997433728776357
MagpieData mean NdUnfilled,0.0039152818323137375
MagpieData range NValence,0.003740169138326751
MagpieData maximum AtomicWeight,0.0037120315127638233
MagpieData range Number,0.003697328471596229
MagpieData minimum MendeleevNumber,0.003640767082377513
MagpieData maximum Number,0.0035502083834050304
MagpieData maximum NpUnfilled,0.003306476043930972
MagpieData mean NsValence,0.003205480314356206
MagpieData range GSbandgap,0.0031447369178016684
MagpieData minimum GSvolume_pa,0.0031194467230037785
MagpieData maximum NUnfilled,0.0030431342359509834
MagpieData minimum Electronegativity,0.002844786492695505
MagpieData maximum NdValence,0.002780146650512931
MagpieData maximum GSbandgap,0.0027078340482460887
MagpieData range NdValence,0.0026315878839935163
MagpieData avg_dev NsValence,0.0023747729317245073
MagpieData minimum Column,0.0023103272666151397
MagpieData maximum GSvolume_pa,0.002163008423931387
MagpieData maximum NdUnfilled,0.0020334992782534617
MagpieData mode GSbandgap,0.0019482214801855879
MagpieData range NdUnfilled,0.0018163733796442635
MagpieData minimum NValence,0.0017537839049599196
MagpieData avg_dev NsUnfilled,0.0017459298659101422
MagpieData avg_dev NfValence,0.0017205043143293946
MagpieData mean NsUnfilled,0.001688494209112958
MagpieData minimum SpaceGroupNumber,0.0015342065120346141
MagpieData mode NUnfilled,0.0014217408731621672
MagpieData minimum NUnfilled,0.0014050506132129604
MagpieData mean NfValence,0.0012755692357063458
MagpieData maximum SpaceGroupNumber,0.0012454844504016197
MagpieData avg_dev NfUnfilled,0.0010811961201610326
MagpieData minimum GSbandgap,0.0010666704450126062
MagpieData mean NfUnfilled,0.0009892767055984675
MagpieData mode GSvolume_pa,0.0009677464751210032
MagpieData minimum Number,0.0009380524244716053
MagpieData minimum AtomicWeight,0.00088437206386282
MagpieData minimum MeltingT,0.0007782956669794373
MagpieData maximum NfUnfilled,0.0007352854147843419
MagpieData range NfUnfilled,0.0007146141871007495
MagpieData mode Column,0.0006913570476534273
MagpieData maximum GSmagmom,0.0006864749954292984
MagpieData mode NpValence,0.0006393717396228122
MagpieData mode CovalentRadius,0.0006265288917386994
MagpieData maximum Column,0.0006080661000189991
MagpieData minimum CovalentRadius,0.0005899934732115311
MagpieData range GSmagmom,0.0005839622898353078
MagpieData range NpValence,0.0005595407498012365
MagpieData maximum Row,0.0005546582162001357
MagpieData range Row,0.0005410417507120393
MagpieData maximum NpValence,0.0005109034489504484
MagpieData mode SpaceGroupNumber,0.0004358451203661394
MagpieData maximum NfValence,0.00042116196448121937
MagpieData range NfValence,0.00040516173444393505
MagpieData minimum NpValence,0.00038323702049991256
MagpieData mode NpUnfilled,0.0003484315303525418
MagpieData mode NValence,0.00031570408204288197
MagpieData mode AtomicWeight,0.0002720877647855351
MagpieData mode Number,0.0002640364475069775
MagpieData minimum NsValence,0.00020138056544445133
MagpieData range NsValence,0.00018127599161448904
MagpieData minimum NpUnfilled,0.00016064847137431087
MagpieData maximum NsUnfilled,0.0001350460366548279
MagpieData range NsUnfilled,0.00013402988593134817
MagpieData minimum Row,8.128251073823031e-05
MagpieData mode Row,7.784338384476284e-05
MagpieData mode NsValence,5.121890188702668e-05
MagpieData mode NsUnfilled,4.3655683806557935e-05
MagpieData minimum NdValence,4.083841788256419e-05
MagpieData maximum NsValence,1.5202019277612722e-05
MagpieData mode NdValence,1.3785522304557593e-05
MagpieData minimum NsUnfilled,7.849797587886526e-06
MagpieData mode NfValence,2.9735858088874262e-06
MagpieData mode NdUnfilled,1.174680474728473e-06
MagpieData mode NfUnfilled,8.064568840670503e-07
MagpieData mode GSmagmom,2.114143731888582e-07
MagpieData minimum NfValence,3.43316145338014e-08
MagpieData minimum GSmagmom,0.0
MagpieData minimum NfUnfilled,0.0
MagpieData minimum NdUnfilled,0.0
